"Year","period","Component","dates","datee","days","DEP","var_trad","var_gam","AEP","A_var_trad","A_var_gam","mid_day"
2022,"0","W",2022-02-01,2022-07-31,181,,,,,,,
2022,"0$3","W",,,31,483149731094.797,,,14977641663938.7,,,47.5
2022,"3","W",2022-03-04,2022-04-08,36,1527376569267.42,1.12796811374559e+24,1.07355538458097e+24,54985556493627.2,1.46184667541428e+27,1.39132777841694e+27,81
2022,"3$4","W",,,0,1084210596319.74,,,0,,,99
2022,"4","W",2022-04-09,2022-04-26,18,862627609845.891,1.10647026962593e+25,2.40295786143046e+23,15527296977226,3.58496367358802e+27,7.7855834710347e+25,108
2022,"4$5","W",,,3,1006300370454.64,,,3018901111363.93,,,118.5
2022,"5","W",2022-04-30,2022-05-31,32,1245754971469.23,1.15426612906894e+21,3.91369275281345e+23,39864159087015.3,1.18196851616659e+24,4.00762137888097e+26,136
2022,"5$6","W",,,5,9524594480262.55,,,47622972401312.8,,,154.5
2022,"6","W",2022-06-06,2022-06-22,17,14447147701707.2,3.01883952236388e+26,1.38380279656737e+26,245601510929023,8.72444621963163e+28,3.9991900820797e+28,165.5
2022,"6$7","W",,,12,8321438722421.09,,,99857264669053,,,180
2022,"7","W",2022-07-05,2022-07-25,21,1350804366681.68,1.53101093607449e+24,7.017985551137e+23,28366891700315.3,6.7517582280885e+26,3.09493162805142e+26,196.5
2022,"7$NA","W",,,6,245600793942.124,,,1473604763652.74,,,210
